Job Title,Company Name,Location,Skills,Salary,Responsibilitie,Date
Python Developer,Afaqy -,"Maadi, Cairo, Egypt",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Computer Science · Software Development · Python,N/A,N/A,1 day ago
Full-Stack Python Team Leader (Django/React),RDI -,"Riyadh, Saudi Arabia",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems,N/A,N/A,3 hours ago
Senior Full-Stack Python (Django/React) in KSA,RDI -,"Dokki, Giza, Egypt",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems,N/A,N/A,24 hours ago
DAZU Pay - Python Developer (FinTech),Bright Creations -,"Smart Village, Giza, Egypt",Entry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Python Scripting · Web Scraping · WWeb Scraping · CI · Computer Science,N/A,N/A,22 hours ago
Junior Python Developer,RDI -,"Dokki, Giza, Egypt",Entry Level · 1 - 3 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Python · MySQL · JavaScript · React · Angular · RESTful · Django,N/A,N/A,6 days ago
Technical Lead (Python Django & React Native),Money Loop  -,"New Cairo, Cairo, Egypt",Manager · 8 - 15 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Python Django · React Native · Node.js · Continues Integration (CI) · Continuous Delivery (CD) · DevOps · Github Actions,N/A,N/A,5 days ago
Senior Front End Developer,Gulf Data International  -,"Smouha, Alexandria, Egypt",Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Agile · Django · Information Technology (IT) · JIRA · Leadership · Python · Software Development · JavaScript,N/A,N/A,7 days ago
Google Cloud Engineer,Cloud11 -,"Cairo, Egypt",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · API · Cloud Computing · Computer Science · Google cloud · Information Technology (IT) · Python · Azure,N/A,N/A,7 days ago
Performance Test Engineer,qTech.  -,"Mansoura, Dakahlia, Egypt",Experienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Assurance · Quality Control · Engineering · Quality · SQL · Zephyr · Testing,N/A,N/A,N/A
IT Helpdesk Engineer,Si-Vision -,"Sheraton, Cairo, Egypt",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CCNA · Computer Science · CSS · Engineering · HTML · Information Technology (IT) · Software Development · Python,N/A,N/A,N/A
Junior Backend Software Developer (RESTful APIs & Django),Oola Technologies -,"Sheikh Zayed, Giza, Egypt",Entry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Python · Software Engineering,N/A,N/A,N/A
ODOO Developer,Aldabboos Group     -,"Sheraton, Cairo, Egypt",Experienced · 3 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CSS · Java · jQuery · Odoo · XML · JavaScript · Python,N/A,N/A,N/A
Full Stack Developer (Laravel & Angular),Aldabboos Group     -,"Sheraton, Cairo, Egypt",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Full Stack · Java · JavaScript · MongoDB · Python · MySQL · React,N/A,N/A,N/A
Data Analyst Lead / Manager,WUZZUF -,"Maadi, Cairo, Egypt",Manager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel,N/A,N/A,N/A
System/ Identity Engineer,Teleperformance - Egypt -,"Katameya, Cairo, Egypt",Experienced · 5 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · engineer · Computer Science · Information Technology (IT) · System engineer · system · Engineering,N/A,N/A,N/A
Senior Data Modeler (Banking Experience Required),BBI-Consultancy -,"Maadi, Cairo, Egypt",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Database · Engineering · Python · SQL · Programming · Data Warehousing,N/A,N/A,N/A
Odoo Developer,ENAYA CARE INTERNATIONAL COMPANY FOR BEAUTY AND COMFORT -,"Jeddah, Saudi Arabia",Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · Python · Agile · ERP · PostgreSQL · Programming,N/A,N/A,N/A
Machine Learning Engineer,Afaqy -,"Maadi, Cairo, Egypt",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Computer Science · Machine Learning · LLM · Automation · Python,N/A,N/A,N/A
Javascript Engineer,Constructor -,"San Francisco, United States",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · engineer · Integrations · JavaScript · Computer Science · CSS · Design · Front end,N/A,N/A,N/A
Linux Systems Administrator,HorizonTechs -,"Cairo, Egypt",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Linux · Python · System Administration · troubleshoot · Zabbix · Web Application · Network · Web Hosting,N/A,N/A,N/A
Odoo Developer,Awamer Alshabaka _اوامر الشبكه -,"Mansoura, Dakahlia, Egypt",Experienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Engineering · Functional · Information Technology (IT) · Installation · Odoo,N/A,N/A,N/A
Data Engineer,Coformatique -,"Cairo, Egypt",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Spark · kafka · Hive · Computer Engineering · Computer Science · Data Modeling · Information Technology (IT) · Programming,N/A,N/A,N/A
Odoo ERP Implementer,Confidential -,"Sheraton, Cairo, Egypt",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Odoo ERP · ERP Implementation · Accounting · Analysis · business · Computer Science · Finance · Implementation · Information Technology (IT),N/A,N/A,N/A
Software Engineer,LemonTree Labs -,"Downtown, Cairo, Egypt",Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · REST · Database · Web Development · React.js · Python · Cloud Services · RESTful API · Node.js,N/A,N/A,N/A
